gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
15	1.0317	1.97299	1.22523	1.07122	1.74274	0.93031	1.05226	1.51089	1.39625	1.07234	0.98674	1.08098	1.53782	1.28324	0.95383	1.3696	1.61391	1.07559	1.73376	1.18053	1.58431	1.13401	1.13617	1.65195	1.25316	1.17453	1.05418	0.85215	1.93681	1.71142	1.46351	1.35873	1.75082	1.21366	1.16794	1.32994	1.67169	1.04359	1.65742	1.30222	1.12804	1.00075	1.60839	1.99697	0.99627	1.29778	1.44153	1.11588	1.62392	1.30483	1.09964	1.47197	1.45518	1.28667	1.34512	1.13195	1.44493	1.69288	1.38491	1.10454	1.60955	1.09712	1.65648	1.7284	1.26713	1.09533	1.12935	1.56653	1.03131	1.31084	1.38652	1.70458	1.1029	1.22641	0.92734	1.47318	1.52092	1.19999	1.2542	1.08333	1.14351	1.51259	0.97782	1.14707	1.15987	1.80825	1.70297	1.4713	0.88118	1.36122	1.04419	1.04608	1.0312	1.25425	1.22153	1.01571	1.26241	1.43995	1.35278	1.58879
20	1.12065	1.99198	1.21701	1.10053	1.75291	0.93731	0.94966	1.49661	1.41432	1.16915	1.08985	1.14012	1.39365	1.18569	0.89227	1.21898	1.70373	1.18748	1.88054	1.28656	1.37045	1.04966	1.13806	1.54477	1.26541	1.19186	1.03299	0.8074	1.90756	1.65833	1.59863	1.3877	1.7025	1.20176	1.12881	1.4009	1.66413	1.19314	1.56765	1.19756	1.07138	1.05664	1.5169	1.87353	1.02829	1.15266	1.45706	1.10296	1.65165	1.28955	1.09979	1.41847	1.60958	1.2867	1.33073	1.15122	1.49756	1.71259	1.28815	1.0431	1.52794	1.30905	1.649	1.72421	1.2164	1.23765	1.12574	1.60964	1.16874	1.31389	1.40895	1.80585	1.11409	1.26654	0.86078	1.31437	1.52019	1.17208	1.27755	1.02874	1.25453	1.41926	1.05576	1.14076	0.99254	1.62976	1.79684	1.49649	0.83071	1.35158	1.2039	0.87423	1.03969	1.34966	1.32432	1.13375	1.38621	1.34234	1.44721	1.66542
24	1.08364	1.84544	1.189	1.08716	1.6988	0.91883	1.01497	1.42092	1.46275	1.18499	1.01133	1.10862	1.44597	1.22632	0.99836	1.30699	1.58194	1.17349	1.83046	1.12793	1.25893	1.15775	1.06871	1.56972	1.21962	1.19285	1.00552	0.89561	1.78135	1.7215	1.51177	1.44913	1.75998	1.18243	1.23714	1.33789	1.61171	1.04468	1.60517	1.21962	1.03665	1.13489	1.38482	1.89383	1.06157	1.18224	1.5254	1.02713	1.52567	1.23677	1.12032	1.4476	1.57997	1.25228	1.37872	1.16799	1.4056	1.67721	1.294	1.0858	1.50558	1.20197	1.75565	1.82152	1.1655	1.14262	1.12717	1.61268	1.08598	1.33126	1.37588	1.85168	1.16175	1.35708	0.88841	1.46272	1.55244	1.28031	1.36019	0.99936	1.25385	1.45506	0.99682	1.18442	1.06527	1.71695	1.84377	1.48644	0.8561	1.40235	1.25397	0.89472	0.97765	1.34858	1.26298	0.99073	1.37047	1.37243	1.41594	1.61719
26	1.0591	1.76329	1.22838	1.03808	1.68809	0.98332	1.06913	1.41004	1.48748	1.13072	1.04982	1.07224	1.44339	1.20447	0.97997	1.24126	1.57268	1.11541	1.86635	1.12861	1.27917	1.19517	1.08014	1.58963	1.23036	1.18423	0.9942	0.9224	1.74371	1.7464	1.51023	1.4928	1.75691	1.15164	1.23666	1.34074	1.59324	1.00434	1.62673	1.25906	1.08505	1.13555	1.3947	1.83925	1.03524	1.20669	1.4277	1.08144	1.5517	1.20632	1.1101	1.48064	1.55134	1.21051	1.33752	1.17301	1.45996	1.66852	1.2508	1.17153	1.52094	1.17406	1.74785	1.78668	1.19582	1.14	1.13581	1.61164	1.10224	1.28448	1.40393	1.78181	1.11376	1.30396	0.90734	1.41042	1.5462	1.35148	1.30505	1.03472	1.22819	1.46725	1.02208	1.13842	1.03991	1.70528	1.90145	1.50999	0.88749	1.31835	1.21775	0.91872	1.01523	1.32023	1.26112	0.99044	1.35313	1.40365	1.43306	1.62458
30	1.12626	1.77395	1.22133	1.00532	1.58168	0.99789	1.10486	1.39728	1.51673	1.07383	1.01685	1.10506	1.42625	1.22899	0.9807	1.29591	1.60156	1.17278	1.74908	1.20121	1.38772	1.16113	1.07477	1.5682	1.28592	1.12176	0.98747	0.90056	1.69573	1.77657	1.49697	1.57165	1.77116	1.13069	1.24204	1.12066	1.5453	1.01391	1.61768	1.17775	1.01442	1.05793	1.43706	1.87818	1.01464	1.15539	1.40226	1.03615	1.56563	1.20899	1.02103	1.53429	1.50252	1.2478	1.25792	1.13141	1.49127	1.73546	1.23669	1.14307	1.48358	1.24689	1.85823	1.77576	1.24234	1.12894	1.15642	1.53109	1.08783	1.29974	1.36464	1.71872	1.18017	1.28586	0.94481	1.39434	1.55313	1.30698	1.30812	1.04677	1.25509	1.40571	1.0307	1.19443	1.13963	1.77361	1.8858	1.50016	0.79586	1.29859	1.17845	0.92496	0.97513	1.35363	1.23835	0.92408	1.4775	1.3417	1.47121	1.57196
31	1.06851	1.77481	1.21451	1.03531	1.65115	1.03275	1.11241	1.44869	1.49745	1.04466	1.02566	1.13721	1.48009	1.21759	0.94012	1.27212	1.58825	1.12555	1.72082	1.12765	1.39547	1.1721	1.06718	1.60603	1.31865	1.09015	1.00782	0.96031	1.71996	1.74773	1.56213	1.50233	1.74729	1.11326	1.31869	1.10928	1.49926	1.04185	1.65749	1.16755	0.98909	1.02057	1.45759	1.79413	1.07245	1.17503	1.33399	1.08007	1.59076	1.20407	1.00754	1.49054	1.48515	1.24237	1.18329	1.09128	1.47616	1.78473	1.19914	1.1228	1.48039	1.26324	1.85291	1.80394	1.23977	1.11494	1.16842	1.52819	1.06393	1.27505	1.37174	1.71747	1.18019	1.26742	0.99462	1.36714	1.58506	1.22952	1.26363	0.99459	1.21453	1.37898	1.05151	1.18006	1.13316	1.78015	1.83952	1.46724	0.84254	1.38146	1.15432	0.93308	1.07744	1.31482	1.23075	0.96448	1.51422	1.3575	1.47323	1.60877
32	1.05594	1.76822	1.24866	1.02882	1.65468	1.05483	1.10118	1.41645	1.4778	1.00904	1.02961	1.12848	1.49591	1.21868	0.95845	1.27704	1.59138	1.18563	1.75935	1.15465	1.39848	1.1864	1.10421	1.58766	1.2618	1.1177	1.0568	0.94286	1.67013	1.77798	1.56545	1.52881	1.75161	1.1412	1.34328	1.10574	1.5157	0.97653	1.64453	1.23015	0.9536	1.01253	1.46155	1.81219	1.01738	1.17809	1.3716	1.083	1.60551	1.17595	1.00658	1.52215	1.46485	1.20401	1.18962	1.09106	1.46312	1.79431	1.19466	1.11278	1.46438	1.31657	1.84034	1.77606	1.26035	1.12577	1.14994	1.51926	1.07543	1.29083	1.33763	1.72293	1.1311	1.23009	0.99204	1.36284	1.53354	1.15662	1.30609	0.98012	1.20543	1.36298	1.07221	1.10056	1.14378	1.7475	1.83526	1.48284	0.83276	1.3734	1.17099	0.96499	1.04399	1.31181	1.19668	0.93319	1.5035	1.34798	1.4981	1.66066
33	1.07607	1.73834	1.28909	1.07091	1.58168	1.03861	1.06192	1.35193	1.49932	1.06567	0.95378	1.10491	1.43104	1.22756	1.02494	1.34307	1.57846	1.22203	1.79118	1.19202	1.39956	1.14017	1.11173	1.61449	1.28196	1.15685	0.99953	0.9385	1.59073	1.73633	1.50697	1.53694	1.76006	1.11137	1.29805	1.09046	1.47462	0.97767	1.60357	1.26353	0.93823	1.06093	1.48976	1.87151	1.0309	1.18767	1.38756	1.06409	1.6059	1.18683	1.04623	1.51074	1.51667	1.1996	1.31617	1.09812	1.49519	1.80093	1.25123	1.15933	1.49011	1.32889	1.82305	1.86202	1.23242	1.14463	1.15634	1.48425	1.13745	1.31927	1.36607	1.69993	1.16385	1.28543	0.96597	1.37273	1.50998	1.14124	1.31826	0.9674	1.22906	1.34497	1.12429	1.07435	1.19184	1.72593	1.85239	1.52196	0.7898	1.33069	1.24818	0.89915	0.95383	1.30699	1.17408	0.87398	1.49113	1.41475	1.44239	1.61428
34	1.11332	1.81693	1.21235	1.06082	1.62005	1.07197	1.04624	1.36836	1.49461	1.05727	1.0104	1.14393	1.50101	1.15747	1.00237	1.29036	1.60211	1.21282	1.76348	1.23783	1.47065	1.17614	1.02616	1.61906	1.28488	1.10511	1.06819	0.98011	1.67504	1.68193	1.52419	1.50654	1.79049	1.04855	1.2563	1.1227	1.45946	1.16228	1.6368	1.26035	1.02672	1.08032	1.49285	1.81979	1.10651	1.17236	1.33485	1.1513	1.54073	1.18814	1.01635	1.47324	1.50912	1.15562	1.09618	1.0997	1.47713	1.87108	1.11823	1.15449	1.50863	1.28038	1.86019	1.92665	1.19382	1.13813	1.11492	1.5836	1.02301	1.35327	1.45549	1.81288	1.1409	1.30468	0.99368	1.40888	1.4822	1.21622	1.23556	0.96657	1.29097	1.31014	1.05301	1.16112	1.14484	1.8274	1.82526	1.54133	0.89614	1.38263	1.07439	0.92962	1.10171	1.20367	1.19823	0.93493	1.59111	1.42284	1.48084	1.48212
36	1.16022	1.83511	1.29	1.07496	1.5934	1.0935	1.06412	1.38228	1.46345	1.0637	0.96558	1.16366	1.49396	1.2002	0.98322	1.27004	1.61706	1.16419	1.74833	1.18889	1.35541	1.14501	1.0936	1.64799	1.25763	1.18005	1.04425	0.9366	1.66734	1.72833	1.50823	1.47299	1.80454	1.08186	1.31267	1.2058	1.52996	1.07421	1.6	1.26424	1.02623	1.06343	1.54143	1.81067	1.11745	1.17947	1.37993	1.13518	1.52883	1.19888	1.10199	1.51564	1.60872	1.17696	1.24812	1.03784	1.45937	1.86677	1.22195	1.09879	1.35588	1.20053	1.8882	1.8059	1.17425	1.19236	1.17672	1.54005	1.13502	1.37623	1.4218	1.74195	1.1114	1.34021	0.91201	1.36165	1.60007	1.12734	1.31856	0.96398	1.34104	1.32703	1.08431	1.21402	1.12117	1.81312	1.84306	1.58831	0.87647	1.29099	1.06982	0.90857	1.06583	1.17292	1.21184	0.96797	1.56231	1.40046	1.49758	1.5001
38	1.13587	1.89172	1.41645	1.04084	1.50398	1.16819	1.01665	1.45992	1.44104	1.07358	0.98408	1.14202	1.47418	1.24241	1.01041	1.19197	1.59356	1.20467	1.86094	1.21882	1.39796	1.24711	1.06348	1.60529	1.22134	1.17372	1.05908	1.10833	1.61124	1.66507	1.61593	1.54979	1.86261	1.05008	1.31729	1.33579	1.45876	0.98491	1.63214	1.31314	1.00218	1.15359	1.56319	1.79725	1.1784	1.18077	1.44676	1.09987	1.54171	1.23304	1.01539	1.54027	1.60804	1.102	1.14322	1.07664	1.41687	1.83143	1.24563	1.04715	1.37257	1.17877	1.82192	1.77277	1.30372	1.20231	1.22129	1.56079	1.25	1.34426	1.45542	1.70867	1.01687	1.37257	0.92158	1.34226	1.65894	1.20219	1.28251	0.9218	1.4051	1.3571	1.00805	1.26643	1.13014	1.78709	1.81768	1.56217	0.82607	1.32728	1.23161	0.89183	1.06843	1.09665	1.25866	0.95961	1.6211	1.42422	1.47729	1.55227
40	1.19627	1.74387	1.46172	1.21211	1.55231	1.04021	0.97082	1.32332	1.5039	1.05725	1.00983	1.13071	1.41361	1.23067	0.96933	1.19686	1.54846	1.23158	1.82634	1.19121	1.33129	1.25523	1.07276	1.55958	1.15631	1.21688	0.93374	1.05563	1.67092	1.7477	1.43298	1.41657	1.85294	0.96532	1.25999	1.29898	1.51173	1.02516	1.57823	1.35544	1.08847	1.17717	1.69253	1.78467	1.13812	1.14705	1.41712	1.06948	1.53826	1.26972	0.97109	1.41696	1.59529	1.24697	1.06991	1.13195	1.35788	1.78264	1.27679	1.10578	1.36746	1.13184	1.818	1.77196	1.38079	1.06653	1.28819	1.57314	0.98882	1.40541	1.44267	1.74606	1.06339	1.3156	0.87308	1.3831	1.57345	1.16503	1.26819	1.00023	1.25624	1.41623	1.04278	1.26819	1.03658	1.78948	1.95984	1.51532	0.8094	1.40374	1.15731	0.87994	1.02086	1.09082	1.23324	0.9147	1.65327	1.42383	1.51246	1.50845
42	1.19053	1.82258	1.34214	1.14913	1.5739	1.11463	1.08737	1.41572	1.57568	0.99885	1.06207	1.0395	1.40112	1.21198	0.9829	1.28739	1.62107	1.18205	1.84494	1.17786	1.28565	1.27789	1.01519	1.6931	1.30392	1.15804	0.90548	1.06628	1.63465	1.6347	1.6051	1.53129	1.81601	0.98438	1.37915	1.23329	1.6576	1.01953	1.71433	1.27345	1.16628	1.17618	1.54316	1.82862	1.16936	1.18073	1.34115	1.11434	1.50113	1.13438	1.01018	1.50821	1.58502	1.06619	1.17779	1.16811	1.35715	1.78892	1.23809	1.12391	1.30892	1.15493	1.80319	1.79783	1.31888	1.12339	1.17793	1.60596	1.12662	1.34596	1.38074	1.79342	1.03372	1.37853	0.97921	1.48834	1.51853	1.25473	1.26556	1.06196	1.22502	1.49038	1.12168	1.22442	1.09568	1.92886	1.90118	1.57975	0.77055	1.40045	1.25349	0.81772	1.0404	1.09511	1.20164	1.04866	1.54024	1.4076	1.46444	1.6128
43	1.22249	1.86758	1.32345	1.14704	1.59185	1.06637	1.10699	1.38096	1.57127	1.03793	1.05851	1.0954	1.44349	1.2335	0.97912	1.20257	1.57377	1.15409	1.87097	1.17055	1.27929	1.20698	0.99544	1.72226	1.22456	1.20087	0.92697	1.01142	1.64537	1.6754	1.57187	1.49643	1.86318	0.9689	1.36808	1.23914	1.59951	1.06193	1.65919	1.31729	1.12083	1.15391	1.56057	1.81981	1.11477	1.20547	1.36302	1.12838	1.50709	1.14404	1.00388	1.52403	1.56364	1.13677	1.16881	1.18495	1.36802	1.74845	1.26391	1.09655	1.39432	1.16355	1.81165	1.81388	1.32689	1.12601	1.14912	1.60553	1.11894	1.41257	1.46166	1.82904	1.02557	1.34507	0.93804	1.42663	1.53029	1.26404	1.27901	1.01402	1.23197	1.52829	1.13543	1.24337	1.06111	1.89726	1.92036	1.58105	0.87106	1.35586	1.22924	0.89606	1.0135	1.13781	1.21555	0.98069	1.55742	1.44181	1.47076	1.61609
45	1.23819	1.86351	1.2805	1.10945	1.62726	0.98147	1.08491	1.41256	1.54043	1.1074	1.07657	1.12443	1.44907	1.22271	1.03253	1.22293	1.55118	1.1518	1.77843	1.21006	1.31813	1.17289	1.02322	1.68482	1.21177	1.16203	0.93242	0.94028	1.57527	1.59457	1.50232	1.56961	1.81238	0.99802	1.38115	1.25539	1.53541	1.124	1.71637	1.32131	1.02234	1.09096	1.50479	1.77197	1.14132	1.17996	1.34812	1.09913	1.48486	1.10421	0.97085	1.50938	1.60209	1.18448	1.21322	1.16282	1.42645	1.72587	1.20298	1.07485	1.42783	1.17075	1.76232	1.7107	1.34363	1.19925	1.1827	1.62481	1.20894	1.41674	1.47189	1.85077	1.07448	1.32411	0.91385	1.33655	1.62595	1.33052	1.2941	1.07472	1.18924	1.52001	1.1272	1.19616	1.04264	1.87581	1.87037	1.53721	0.90885	1.39452	1.22724	0.87393	1.01616	1.17225	1.20418	1.04461	1.57417	1.46535	1.48758	1.56628
52	1.04682	2.03749	1.08528	1.12541	1.76221	0.88076	0.95184	1.3568	1.47274	0.89279	1.13238	1.13592	1.34186	1.32647	1.05625	1.36517	1.53215	1.07502	1.93656	1.07742	1.4825	1.09531	1.12323	1.75962	1.27867	1.1065	1.21416	0.92517	1.90256	1.57202	1.45167	1.36502	1.83023	1.2067	1.1694	1.39446	1.61568	1.19384	1.55927	1.36682	1.19234	1.11554	1.53375	2.08809	0.94545	1.15066	1.52746	1.03425	1.55447	1.2431	1.15287	1.40248	1.43512	1.28401	1.45345	1.22833	1.49087	1.79353	1.24412	1.22752	1.37866	1.10386	1.64259	1.61447	1.18941	1.01826	1.20557	1.5035	1.00085	1.3793	1.39385	1.63854	1.16189	1.31875	0.91382	1.43936	1.4658	1.27196	1.23787	1.12325	1.16336	1.46717	1.07501	1.19681	1.10597	1.74097	1.75256	1.62459	1.0209	1.29735	1.1054	1.00382	1.10408	1.31543	1.18629	1.05776	1.38697	1.47115	1.3775	1.73259
