Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
47	0.03741	-0.02205	-0.04383	-0.03224	-0.00825	0.00105	0.04675	0.03733	0.01261	-0.02722
48	0.03753	-0.02203	-0.04403	-0.03261	-0.00815	0.00079	0.0474	0.03791	0.01326	-0.02766
49	-0.01863	-0.04281	0.04747	-0.02385	-0.02073	-0.04467	0.00212	0.02984	-0.00061	0.00952
51	-0.01836	-0.04262	0.04683	-0.02309	-0.02072	-0.04323	0.0014	0.02867	1e-05	0.00848
52	-0.01817	-0.04243	0.0463	-0.02249	-0.02055	-0.04203	0.00099	0.02765	0.00037	0.00778
53	-0.01794	-0.0423	0.0458	-0.02188	-0.0206	-0.04094	0.00038	0.02681	9e-04	0.00696
54	-0.01696	-0.0421	0.04439	-0.01996	-0.02194	-0.0381	-0.00265	0.02517	0.00337	0.00375
57	-0.01414	-0.04144	0.04012	-0.01447	-0.02539	-0.02968	-0.0109	0.02018	0.00963	-0.00489
59	-0.01268	-0.04101	0.03781	-0.0118	-0.02678	-0.02542	-0.01451	0.01763	0.01178	-0.00837
60	-0.01218	-0.04088	0.03705	-0.01097	-0.02729	-0.02411	-0.01568	0.01691	0.01237	-0.00941
61	-0.0111	-0.04053	0.03529	-0.00914	-0.02813	-0.02104	-0.01798	0.01508	0.01326	-0.01144
62	-0.01028	-0.04021	0.03388	-0.00782	-0.02847	-0.01871	-0.01932	0.01364	0.01343	-0.01249
63	-0.00969	-0.03999	0.03288	-0.00688	-0.02881	-0.0171	-0.02037	0.01268	0.01362	-0.01329
64	-0.0089	-0.03975	0.03161	-0.00578	-0.02933	-0.01508	-0.02169	0.01154	0.01359	-0.01429
67	-0.00736	-0.03926	0.02909	-0.00388	-0.03018	-0.01128	-0.02381	0.00946	0.01271	-0.01583
68	-0.00531	-0.03848	0.02551	-0.0023	-0.03041	-0.00674	-0.02461	0.00711	0.0087	-0.01604
74	0.01468	-0.03079	-0.00945	0.00698	-0.02937	0.0311	-0.02265	-0.00991	-0.03657	-0.01188
75	0.01573	-0.03036	-0.01118	0.0067	-0.02895	0.03183	-0.02149	-0.00976	-0.03787	-0.0114
77	0.01819	-0.02948	-0.01503	0.00493	-0.02795	0.03208	-0.01773	-0.00795	-0.03999	-0.01056
78	0.01894	-0.02913	-0.01621	0.00441	-0.02739	0.03192	-0.01642	-0.00737	-0.04006	-0.01003
82	0.02389	-0.02695	-0.0238	-0.00144	-0.02309	0.02788	-0.00469	-4e-04	-0.03607	-0.00828
83	0.02583	-0.02615	-0.02671	-0.00446	-0.02125	0.02547	0.00081	0.00322	-0.03286	-0.00849
87	0.03078	-0.02427	-0.03413	-0.01443	-0.01612	0.01708	0.01798	0.01546	-0.01898	-0.0129
88	0.0319	-0.02396	-0.03582	-0.01734	-0.01503	0.01477	0.02269	0.01912	-0.01451	-0.01531
89	0.03291	-0.02362	-0.03729	-0.01994	-0.01386	0.01245	0.02686	0.02221	-0.01015	-0.01722
91	0.03493	-0.02282	-0.04012	-0.02516	-0.01122	0.00735	0.03514	0.02819	-0.00062	-0.02081
95	0.03688	-0.02208	-0.0429	-0.0306	-0.00858	0.00203	0.04386	0.03472	0.00999	-0.02514
98	0.03746	-0.02187	-0.04374	-0.03228	-0.0078	0.00042	0.04657	0.03681	0.01336	-0.0266
100	-0.01867	-0.04227	0.04655	-0.02313	-0.01908	-0.04226	0.00288	0.02716	-0.0014	0.00929
102	-0.01833	-0.04209	0.04587	-0.02227	-0.01925	-0.04082	0.00194	0.0261	-5e-04	0.0081
103	-0.01802	-0.04197	0.04533	-0.02155	-0.01948	-0.03968	0.00107	0.02531	0.00031	0.00709
107	-0.0147	-0.04113	0.04025	-0.01493	-0.02342	-0.02966	-0.00862	0.01932	0.008	-0.00309
108	-0.0136	-0.04096	0.03876	-0.01305	-0.02497	-0.02695	-0.01172	0.01797	0.0101	-0.006
111	-0.01121	-0.04033	0.03511	-0.00902	-0.02728	-0.02064	-0.01724	0.01446	0.0129	-0.01085
112	-0.01027	-0.04004	0.03362	-0.00758	-0.028	-0.01823	-0.01904	0.01311	0.01336	-0.01226
114	-0.00887	-0.03967	0.03147	-0.00564	-0.02914	-0.01483	-0.02161	0.01129	0.01359	-0.01421
115	-0.00767	-0.03915	0.02933	-0.00406	-0.02934	-0.01166	-0.02284	0.00938	0.01267	-0.01493
117	-0.00669	-0.03866	0.02755	-0.00271	-0.02929	-0.00911	-0.02369	0.00777	0.01196	-0.01514
122	0.01311	-0.03118	-0.007	0.0079	-0.02935	0.03013	-0.02429	-0.01063	-0.03349	-0.01198
123	0.01382	-0.03092	-0.00814	0.00758	-0.02912	0.03047	-0.02344	-0.01035	-0.03443	-0.01166
124	0.01431	-0.03068	-0.00893	0.00737	-0.02879	0.03054	-0.02274	-0.01012	-0.03469	-0.01126
126	0.01687	-0.02973	-0.01301	0.00619	-0.02788	0.03166	-0.0196	-0.00909	-0.03769	-0.01019
129	0.02038	-0.02833	-0.01844	0.00297	-0.02573	0.03056	-0.01302	-0.00555	-0.03828	-0.00879
130	0.02209	-0.02773	-0.02105	0.00088	-0.02469	0.02955	-0.00923	-0.00319	-0.03794	-0.00867
132	0.02425	-0.02663	-0.02429	-0.00183	-0.02231	0.02702	-0.0037	7e-05	-0.03469	-0.00758
136	0.02924	-0.02472	-0.03177	-0.01096	-0.01749	0.01966	0.01217	0.01106	-0.02355	-0.01056
137	0.0304	-0.02426	-0.03349	-0.01344	-0.01617	0.01743	0.01641	0.01411	-0.01967	-0.01174
141	0.03478	-0.02277	-0.03981	-0.02472	-0.01113	0.00735	0.03433	0.02736	-0.00087	-0.02007
142	0.0355	-0.02251	-0.04084	-0.02666	-0.01024	0.00555	0.03743	0.02968	0.00265	-0.02161
143	0.03606	-0.02228	-0.04162	-0.02821	-0.00945	0.00399	0.03984	0.03143	0.00566	-0.02274
144	0.03634	-0.0222	-0.04204	-0.029	-0.00911	0.00327	0.04116	0.03248	0.00718	-0.02346
145	0.03688	-0.02193	-0.04275	-0.03051	-0.00822	0.00158	0.0435	0.0341	0.01045	-0.02448
147	0.03728	-0.02168	-0.04321	-0.03158	-0.00744	0.00016	0.04505	0.03503	0.01299	-0.02498
150	-0.01876	-0.04192	0.04603	-0.02277	-0.01795	-0.0409	0.00354	0.02557	-0.00202	0.00933
155	-0.01664	-0.04138	0.0428	-0.01838	-0.02046	-0.03446	-0.00275	0.02169	0.00354	0.00262
156	-0.01578	-0.04116	0.0415	-0.01668	-0.02146	-0.03194	-0.00521	0.02022	0.00552	9e-05
160	-0.01241	-0.04039	0.03656	-0.01062	-0.02539	-0.02296	-0.01412	0.01531	0.01159	-0.0083
161	-0.01123	-0.04004	0.03473	-0.0087	-0.02636	-0.0199	-0.01657	0.01358	0.01258	-0.01029
163	-0.00972	-0.03954	0.0323	-0.00635	-0.02739	-0.01601	-0.01937	0.01139	0.01331	-0.0124
164	-0.0087	-0.03912	0.03053	-0.00482	-0.02772	-0.01326	-0.0208	0.0097	0.0132	-0.01333
165	-0.00731	-0.03871	0.02839	-0.00322	-0.02856	-0.01027	-0.02267	0.00819	0.01249	-0.01437
166	-0.00643	-0.03822	0.02671	-0.00203	-0.02833	-0.00792	-0.02319	0.00668	0.01159	-0.01436
167	-0.00613	-0.03803	0.0261	-0.00154	-0.02822	-0.00699	-0.02343	0.00604	0.01141	-0.01443
172	0.01084	-0.03118	-0.0037	0.00892	-0.02735	0.02705	-0.02453	-0.01079	-0.0251	-0.01053
173	0.01214	-0.03076	-0.00573	0.00875	-0.0273	0.0282	-0.02381	-0.01082	-0.02756	-0.01001
176	0.0159	-0.02959	-0.01159	0.00725	-0.02688	0.03061	-0.02035	-0.00979	-0.03396	-0.00896
178	0.01852	-0.02868	-0.01562	0.00513	-0.02582	0.03051	-0.0162	-0.00764	-0.03593	-0.00813
179	0.02028	-0.02802	-0.01827	0.00324	-0.02477	0.02964	-0.01272	-0.00561	-0.03598	-0.00761
180	0.02211	-0.02739	-0.02102	0.00112	-0.0238	0.02872	-0.00901	-0.00336	-0.03614	-0.00741
182	0.02473	-0.02621	-0.02494	-0.00228	-0.02133	0.02599	-0.0025	6e-04	-0.0331	-0.0066
185	0.02801	-0.02511	-0.02991	-0.0084	-0.01858	0.02159	0.00789	0.00795	-0.02669	-0.00916
186	0.02922	-0.0245	-0.03164	-0.01071	-0.01694	0.0191	0.01196	0.01064	-0.02261	-0.00957
187	0.03004	-0.02413	-0.03278	-0.01237	-0.01593	0.01744	0.01467	0.01241	-0.02	-0.01007
192	0.03551	-0.02224	-0.0406	-0.02651	-0.0096	0.00474	0.03685	0.02866	0.00348	-0.02047
194	0.03634	-0.02191	-0.04175	-0.02881	-0.00842	0.00241	0.04047	0.03129	0.00802	-0.02218
196	0.03714	-0.02154	-0.04282	-0.03105	-0.00717	-2e-05	0.04394	0.03376	0.01272	-0.02382
198	0.03739	-0.02148	-0.04321	-0.0318	-0.0069	-0.00064	0.04517	0.03475	0.01408	-0.02458
204	-0.01777	-0.04109	0.04353	-0.01985	-0.01748	-0.03544	0.00127	0.02114	0.00018	0.0059
210	-0.01279	-0.04005	0.03645	-0.01071	-0.02369	-0.0225	-0.01241	0.01427	0.01059	-0.00708
214	-0.00846	-0.03852	0.02947	-0.00379	-0.02632	-0.01148	-0.02017	0.008	0.01308	-0.01259
230	0.02211	-0.027	-0.021	0.00143	-0.0227	0.02777	-0.00867	-0.00347	-0.03387	-0.00593
231	0.02386	-0.02642	-0.02362	-0.00087	-0.02174	0.02662	-0.00481	-0.00103	-0.03359	-0.00601
233	0.02574	-0.02558	-0.02638	-0.00375	-0.01981	0.02408	4e-04	0.0023	-0.03024	-0.00599
234	0.02683	-0.02515	-0.028	-0.0056	-0.01879	0.02261	0.00364	0.00449	-0.02819	-0.00639
235	0.02792	-0.02472	-0.02958	-0.00773	-0.01768	0.02077	0.00715	0.00687	-0.02545	-0.00713
236	0.02918	-0.0241	-0.03135	-0.01022	-0.01599	0.01811	0.01132	0.00957	-0.02123	-0.00769
238	0.03101	-0.02358	-0.03403	-0.01464	-0.01433	0.0147	0.01819	0.01461	-0.01535	-0.01087
239	0.03234	-0.02315	-0.03593	-0.01802	-0.01288	0.01176	0.02348	0.0185	-0.00999	-0.01337
241	0.03433	-0.02226	-0.03859	-0.02313	-0.01004	0.00641	0.03123	0.02373	-5e-04	-0.01641
242	0.03547	-0.02176	-0.04009	-0.02611	-0.00843	0.00331	0.03569	0.02675	0.00501	-0.0183
243	0.03609	-0.02164	-0.04105	-0.02787	-0.00791	0.00203	0.03853	0.02905	0.0077	-0.02007
244	0.03633	-0.02136	-0.04119	-0.02842	-0.00714	8e-04	0.03911	0.02904	0.00953	-0.01982
245	0.03671	-0.02124	-0.04174	-0.0295	-0.00667	-0.00018	0.04081	0.03033	0.01151	-0.02074
246	0.03699	-0.02123	-0.04224	-0.03038	-0.00652	-0.00067	0.04234	0.0317	0.01282	-0.02186
248	0.03731	-0.02108	-0.04265	-0.03129	-0.00601	-0.00167	0.04369	0.03263	0.01473	-0.0225
249	-0.01937	-0.04076	0.04463	-0.02221	-0.01351	-0.03696	0.00685	0.0205	-0.0053	0.01049
250	-0.01916	-0.04083	0.04454	-0.02193	-0.01413	-0.0369	0.00606	0.02074	-0.00448	0.00989
251	-0.01898	-0.04091	0.04449	-0.02172	-0.01469	-0.03692	0.00539	0.02101	-0.0038	0.00939
253	-0.01828	-0.04074	0.04348	-0.02024	-0.01552	-0.03494	0.00335	0.01987	-0.00173	0.00728
254	-0.01804	-0.04064	0.04305	-0.01966	-0.01569	-0.03408	0.00269	0.01929	-0.00102	0.00654
255	-0.01718	-0.04039	0.04174	-0.01786	-0.01661	-0.03157	3e-04	0.01783	0.00124	0.0041
256	-0.01654	-0.04031	0.04092	-0.01669	-0.01756	-0.03003	-0.00161	0.01707	0.00287	0.00226
258	-0.01471	-0.04	0.03849	-0.0134	-0.02008	-0.0258	-0.00671	0.01513	0.00705	-0.0023
259	-0.01397	-0.03959	0.03706	-0.01176	-0.02022	-0.0232	-0.0082	0.01336	0.00825	-0.00376
261	-0.01149	-0.03869	0.03305	-0.00728	-0.02188	-0.01647	-0.01332	0.00945	0.01131	-0.00793
264	-0.00833	-0.03803	0.02865	-0.00301	-0.02505	-0.01	-0.01952	0.00653	0.01294	-0.01202
267	-0.00443	-0.03614	0.02177	0.00186	-0.02488	-0.00096	-0.02239	0.0011	0.00964	-0.01184
268	-0.0018	-0.03476	0.01703	0.00478	-0.02427	0.00486	-0.02345	-0.0024	0.00645	-0.01088
273	0.01013	-0.03038	-0.00302	0.0104	-0.0246	0.02563	-0.0239	-0.01156	-0.01879	-0.00777
276	0.01423	-0.02902	-0.0092	0.00918	-0.02415	0.0279	-0.02094	-0.01078	-0.0254	-0.00578
277	0.01694	-0.02818	-0.01332	0.00724	-0.02353	0.02836	-0.01739	-0.00898	-0.02865	-0.00508
280	0.02183	-0.02656	-0.02052	0.00217	-0.02146	0.02663	-0.00889	-0.00401	-0.03105	-0.00407
282	0.0249	-0.02547	-0.025	-0.00193	-0.01953	0.02418	-0.00214	0.00019	-0.02986	-0.00403
283	0.02564	-0.0251	-0.02608	-0.00306	-0.01865	0.02303	-2e-05	0.00151	-0.02824	-0.0039
284	0.02685	-0.02466	-0.02784	-0.00515	-0.01762	0.02143	0.0034	0.00378	-0.02628	-0.0044
285	0.02796	-0.02419	-0.0294	-0.00731	-0.01641	0.01944	0.00684	0.006	-0.02341	-0.00502
287	0.02904	-0.02379	-0.03094	-0.0095	-0.01532	0.01755	0.01033	0.00836	-0.02059	-0.00592
288	0.03015	-0.02346	-0.03251	-0.01221	-0.01426	0.01536	0.01437	0.01122	-0.01696	-0.00776
293	0.03603	-0.02132	-0.04063	-0.02748	-0.00717	0.00117	0.03748	0.02753	0.0084	-0.01849
295	0.03676	-0.02095	-0.04153	-0.02947	-0.00598	-0.0011	0.04036	0.02939	0.01248	-0.01976
297	0.03709	-0.02073	-0.04188	-0.03035	-0.0053	-0.00231	0.04157	0.03005	0.01455	-0.02012
298	0.03728	-0.02068	-0.04217	-0.03092	-0.00511	-0.00277	0.04248	0.03078	0.01555	-0.02069
301	-0.01921	-0.04032	0.04369	-0.02128	-0.01265	-0.03481	0.00673	0.01852	-0.00508	0.00968
302	-0.01906	-0.04021	0.04336	-0.02086	-0.01265	-0.03414	0.00637	0.01802	-0.00463	0.00921
303	-0.0186	-0.04011	0.0427	-0.01989	-0.01322	-0.03285	0.00501	0.01728	-0.00326	0.00781
306	-0.01695	-0.03976	0.04048	-0.01657	-0.01529	-0.02884	0.00039	0.0153	0.00159	0.00344
307	-0.0161	-0.03945	0.03911	-0.01474	-0.01602	-0.02637	-0.00178	0.01389	0.00376	0.00134
308	-0.0151	-0.03907	0.03746	-0.01268	-0.01675	-0.02333	-0.00419	0.01203	0.00579	-0.001
312	-0.01029	-0.03757	0.0302	-0.00436	-0.02067	-0.01174	-0.01434	0.00593	0.01219	-0.00854
315	-0.00631	-0.03602	0.02375	0.00118	-0.02215	-0.00279	-0.01956	0.00101	0.01188	-0.01067
318	-0.00081	-0.0336	0.01451	0.00695	-0.02234	0.00828	-0.02303	-0.00513	0.00597	-0.00948
320	0.00403	-0.03169	0.00639	0.01007	-0.02234	0.01706	-0.024	-0.00949	-0.00303	-0.00783
321	0.00575	-0.03115	0.00365	0.01066	-0.02263	0.01969	-0.02416	-0.0105	-0.00673	-0.00742
322	0.00731	-0.03043	0.00098	0.01163	-0.02234	0.02231	-0.02417	-0.01181	-0.00944	-0.00657
323	0.00895	-0.02992	-0.00144	0.01152	-0.02243	0.0236	-0.02368	-0.01192	-0.01252	-0.00571
325	0.01198	-0.0288	-0.00597	0.01113	-0.02199	0.02542	-0.02207	-0.01181	-0.01726	-0.00375
326	0.01341	-0.02841	-0.0081	0.01056	-0.02207	0.02626	-0.02108	-0.01144	-0.02005	-0.00331
327	0.01626	-0.02761	-0.01232	0.00858	-0.02176	0.02689	-0.01785	-0.00974	-0.02425	-0.0027
331	0.02392	-0.02514	-0.02342	0.00025	-0.01862	0.02371	-0.00461	-0.00195	-0.02794	-0.00136
332	0.02498	-0.02483	-0.02496	-0.00141	-0.01801	0.02276	-0.00205	-3e-04	-0.02729	-0.0017
334	0.02649	-0.02416	-0.02707	-0.00391	-0.01646	0.02044	0.002	0.00217	-0.02454	-0.00181
335	0.02769	-0.02376	-0.02876	-0.00628	-0.01542	0.01858	0.00561	0.00458	-0.02205	-0.00277
338	0.03022	-0.02283	-0.0322	-0.01198	-0.01273	0.01349	0.01399	0.01008	-0.01427	-0.00566
339	0.03169	-0.02215	-0.03406	-0.01556	-0.01071	0.00972	0.01905	0.01319	-0.00831	-0.0074
341	0.03411	-0.02119	-0.03718	-0.02178	-0.00764	0.00364	0.02782	0.01888	0.00178	-0.01128
342	0.03532	-0.02061	-0.03871	-0.0249	-0.00586	0.00026	0.03234	0.0218	0.00752	-0.01311
344	0.03619	-0.02	-0.03959	-0.02715	-0.0041	-0.00285	0.03523	0.02319	0.01244	-0.0139
347	0.03705	-0.01952	-0.04056	-0.02949	-0.0026	-0.00565	0.0384	0.02506	0.0172	-0.0153
350	-0.01974	-0.03956	0.0429	-0.02121	-0.0098	-0.03267	0.00898	0.01578	-0.00742	0.01058
351	-0.01958	-0.03957	0.04276	-0.02093	-0.01008	-0.03244	0.00852	0.01572	-0.00685	0.01017
352	-0.01923	-0.03977	0.04276	-0.02055	-0.0112	-0.03263	0.00729	0.01631	-0.00551	0.00935
353	-0.01871	-0.03971	0.04216	-0.01953	-0.01197	-0.03155	0.00578	0.01584	-0.00378	0.00795
354	-0.01854	-0.03954	0.0417	-0.01898	-0.01184	-0.03059	0.00542	0.0151	-0.0033	0.00739
356	-0.01722	-0.03908	0.03962	-0.01606	-0.01299	-0.02676	0.00198	0.01287	0.00048	0.00396
358	-0.01522	-0.03822	0.03626	-0.01171	-0.01423	-0.02074	-0.00268	0.00925	0.00512	-0.00045
364	-0.00816	-0.03555	0.02517	0.00045	-0.01823	-0.00389	-0.01544	7e-05	0.01258	-0.00845
365	-0.00577	-0.03475	0.02151	0.00326	-0.01932	0.00071	-0.01828	-0.0022	0.01161	-0.00911
368	-0.00013	-0.03238	0.01232	0.00912	-0.01993	0.01138	-0.02221	-0.00782	0.00615	-0.00792
369	0.00187	-0.03172	0.00922	0.01047	-0.02042	0.01463	-0.02324	-0.0093	0.00307	-0.00742
371	0.0044	-0.0309	0.00531	0.01146	-0.0208	0.01812	-0.02368	-0.0107	-0.00163	-0.00642
372	0.00662	-0.03003	0.00178	0.01243	-0.02072	0.02117	-0.02378	-0.01204	-0.00547	-0.0052
373	0.00848	-0.02952	-0.00091	0.01216	-0.021	0.02259	-0.02327	-0.01208	-0.00922	-0.00439
374	0.01055	-0.02886	-0.00395	0.0117	-0.02095	0.02382	-0.0222	-0.01188	-0.0128	-0.00334
377	0.01539	-0.02715	-0.011	0.01004	-0.02015	0.02543	-0.01869	-0.0107	-0.01979	-4e-04
382	0.02469	-0.02445	-0.02441	-0.00059	-0.01703	0.02186	-0.00271	-0.00111	-0.02532	1e-05
384	0.02627	-0.02363	-0.02651	-0.003	-0.0152	0.01926	0.00119	0.00108	-0.02239	0.00045
385	0.02718	-0.02357	-0.02786	-0.00494	-0.01505	0.01852	0.00376	0.00292	-0.02185	-0.00098
387	0.02859	-0.02314	-0.02988	-0.00789	-0.01386	0.01626	0.00825	0.006	-0.01866	-0.00246
388	0.03032	-0.02207	-0.03175	-0.01177	-0.01093	0.01122	0.01323	0.0083	-0.0115	-0.00313
393	0.03582	-0.01959	-0.03856	-0.02575	-0.00334	-0.00337	0.03245	0.02008	0.01194	-0.01093
394	0.03614	-0.01934	-0.03885	-0.02658	-0.00262	-0.00463	0.03347	0.0205	0.01391	-0.01116
396	0.0368	-0.01896	-0.03955	-0.02837	-0.0015	-0.00674	0.03577	0.02179	0.01734	-0.01227
399	-0.02002	-0.03935	0.04282	-0.02145	-0.00879	-0.03234	0.01001	0.01515	-0.00852	0.0112
405	-0.0179	-0.03899	0.04017	-0.0171	-0.01154	-0.02756	0.00412	0.01284	-0.00154	0.00564
410	-0.01342	-0.03682	0.03234	-0.00719	-0.0135	-0.01391	-0.00549	0.00449	0.00828	-0.0031
411	-0.01252	-0.03631	0.03069	-0.00533	-0.01357	-0.01122	-0.00695	0.00276	0.00942	-0.00412
413	-0.00942	-0.03525	0.02607	-3e-04	-0.01557	-0.00462	-0.01246	-0.00052	0.01237	-0.00704
420	0.00314	-0.03072	0.00674	0.01195	-0.01925	0.01697	-0.02296	-0.01075	0.00196	-0.00603
421	0.00455	-0.03021	0.00457	0.01255	-0.01937	0.01884	-0.02317	-0.0115	-0.00053	-0.00537
422	0.00638	-0.02971	0.00191	0.01297	-0.01985	0.02089	-0.02349	-0.01214	-0.00397	-0.0046
423	0.00782	-0.02929	-0.00015	0.01285	-0.01999	0.02191	-0.02317	-0.01223	-0.00662	-0.00378
426	0.01357	-0.02719	-0.00836	0.01164	-0.01922	0.02417	-0.02022	-0.01164	-0.01522	0.00036
427	0.01503	-0.02645	-0.01047	0.01135	-0.01849	0.02425	-0.01909	-0.01134	-0.01667	0.00191
431	0.02312	-0.02391	-0.02195	0.00271	-0.01554	0.02104	-0.00616	-0.00396	-0.02191	0.00365
432	0.02412	-0.02375	-0.02335	0.00102	-0.0153	0.02034	-0.00402	-0.0026	-0.02199	0.00302
434	0.02584	-0.02309	-0.0256	-0.00161	-0.01401	0.01823	-0.00043	-0.00063	-0.02071	0.00307
435	0.02683	-0.02295	-0.02704	-0.00364	-0.01365	0.01725	0.00235	0.00128	-0.01978	0.00185
436	0.028	-0.02251	-0.02857	-0.00598	-0.01254	0.01521	0.00557	0.00321	-0.01737	0.00105
437	0.02841	-0.02215	-0.02891	-0.00676	-0.01163	0.01379	0.00645	0.00334	-0.01558	0.00141
441	0.03427	-0.01974	-0.03611	-0.0213	-0.00429	-0.00064	0.0256	0.01456	0.00625	-0.00623
447	0.03684	-0.01776	-0.03838	-0.02782	0.00113	-0.01005	0.03312	0.01744	0.02004	-0.00825
451	-0.02013	-0.0385	0.04145	-0.0205	-0.0066	-0.02921	0.01089	0.01207	-0.00927	0.01075
452	-0.01979	-0.03879	0.04164	-0.02023	-0.00777	-0.02974	0.00981	0.01284	-0.00797	0.01018
453	-0.01929	-0.03878	0.04116	-0.01928	-0.0086	-0.02895	0.00837	0.01261	-0.00615	0.00894
454	-0.019	-0.03855	0.0405	-0.0184	-0.00854	-0.02763	0.00771	0.01168	-0.00512	0.00803
456	-0.01728	-0.03763	0.03741	-0.01407	-0.00919	-0.02193	0.00373	0.00811	0.00027	0.00376
458	-0.01565	-0.03678	0.03449	-0.0103	-0.00974	-0.0168	0.00029	0.0049	0.00414	0.00058
459	-0.01546	-0.03643	0.03373	-0.00949	-0.00917	-0.0153	0.00013	0.00366	0.00457	8e-05
461	-0.01228	-0.03545	0.02919	-0.00382	-0.01167	-0.00841	-0.00633	0.00025	0.0097	-0.00405
463	-0.00929	-0.03422	0.02456	0.0013	-0.01314	-0.00201	-0.0113	-0.00292	0.01278	-0.00637
464	-0.0081	-0.03371	0.02271	0.00311	-0.01352	0.00034	-0.01289	-0.00409	0.01327	-0.00669
465	-0.0052	-0.03255	0.01825	0.00703	-0.0145	0.00578	-0.01636	-0.00678	0.01318	-0.00701
467	-0.00247	-0.03176	0.01442	0.00955	-0.01592	0.00976	-0.01917	-0.00833	0.01117	-0.00677
468	-0.00049	-0.03111	0.01138	0.0112	-0.0165	0.01312	-0.02056	-0.00993	0.00875	-0.00641
470	0.00295	-0.03015	0.00649	0.01287	-0.01775	0.01732	-0.02231	-0.01141	0.00355	-0.0052
471	0.0042	-0.0299	0.00473	0.01315	-0.01834	0.01884	-0.02276	-0.01189	0.00105	-0.0049
473	0.00804	-0.02866	-6e-04	0.01353	-0.01874	0.02146	-0.02277	-0.01239	-0.00505	-0.00224
475	0.01132	-0.02726	-0.00537	0.01334	-0.01797	0.02285	-0.02126	-0.01228	-0.00953	0.00061
476	0.01333	-0.02629	-0.00815	0.01284	-0.01707	0.02275	-0.01985	-0.01187	-0.01143	0.00278
477	0.015	-0.02542	-0.01045	0.01238	-0.01617	0.02247	-0.01859	-0.01151	-0.01287	0.00469
479	0.01887	-0.02447	-0.01586	0.00835	-0.0155	0.02166	-0.01324	-0.0085	-0.01691	0.00529
481	0.02213	-0.02321	-0.02033	0.00494	-0.01376	0.01962	-0.00804	-0.00569	-0.01807	0.0067
482	0.02368	-0.02302	-0.02245	0.00244	-0.01361	0.01881	-0.00516	-0.00394	-0.01899	0.00587
483	0.02501	-0.02252	-0.02415	0.00053	-0.01276	0.01737	-0.00272	-0.00265	-0.01867	0.00597
485	0.02651	-0.02194	-0.02599	-0.00218	-0.01143	0.01496	0.00067	-0.00092	-0.01652	0.0056
486	0.0274	-0.02177	-0.02722	-0.00395	-0.01103	0.01397	0.00296	0.00057	-0.01576	0.00469
