,X,Y,Spot_radius
760,15,13,0.5
761,15,14,0.5
762,15,15,0.5
764,15,17,0.5
767,15,20,0.5
770,15,23,0.5
775,15,28,0.5
778,15,31,0.5
779,15,32,0.5
780,15,33,0.5
781,15,34,0.5
782,15,35,0.5
785,15,38,0.5
786,15,39,0.5
789,15,42,0.5
791,15,44,0.5
792,15,45,0.5
795,15,48,0.5
796,15,49,0.5
800,16,3,0.5
802,16,5,0.5
804,16,7,0.5
807,16,10,0.5
811,16,14,0.5
816,16,19,0.5
817,16,20,0.5
819,16,22,0.5
821,16,24,0.5
822,16,25,0.5
824,16,27,0.5
825,16,28,0.5
826,16,29,0.5
831,16,34,0.5
832,16,35,0.5
833,16,36,0.5
834,16,37,0.5
837,16,40,0.5
838,16,41,0.5
840,16,43,0.5
841,16,44,0.5
843,16,46,0.5
845,16,48,0.5
847,17,0,0.5
851,17,4,0.5
852,17,5,0.5
855,17,8,0.5
857,17,10,0.5
858,17,11,0.5
860,17,13,0.5
861,17,14,0.5
862,17,15,0.5
863,17,16,0.5
865,17,18,0.5
866,17,19,0.5
868,17,21,0.5
869,17,22,0.5
870,17,23,0.5
871,17,24,0.5
872,17,25,0.5
873,17,26,0.5
875,17,28,0.5
877,17,30,0.5
879,17,32,0.5
880,17,33,0.5
881,17,34,0.5
882,17,35,0.5
885,17,38,0.5
886,17,39,0.5
887,17,40,0.5
889,17,42,0.5
894,17,47,0.5
895,17,48,0.5
896,17,49,0.5
899,18,2,0.5
901,18,4,0.5
902,18,5,0.5
908,18,11,0.5
910,18,13,0.5
915,18,18,0.5
921,18,24,0.5
922,18,25,0.5
923,18,26,0.5
924,18,27,0.5
926,18,29,0.5
928,18,31,0.5
930,18,33,0.5
931,18,34,0.5
933,18,36,0.5
934,18,37,0.5
935,18,38,0.5
938,18,41,0.5
939,18,42,0.5
940,18,43,0.5
941,18,44,0.5
943,18,46,0.5
944,18,47,0.5
945,18,48,0.5
947,19,0,0.5
949,19,2,0.5
950,19,3,0.5
952,19,5,0.5
953,19,6,0.5
954,19,7,0.5
955,19,8,0.5
956,19,9,0.5
957,19,10,0.5
959,19,12,0.5
960,19,13,0.5
961,19,14,0.5
965,19,18,0.5
967,19,20,0.5
968,19,21,0.5
972,19,25,0.5
975,19,28,0.5
977,19,30,0.5
978,19,31,0.5
980,19,33,0.5
981,19,34,0.5
984,19,37,0.5
985,19,38,0.5
988,19,41,0.5
992,19,45,0.5
994,19,47,0.5
995,19,48,0.5
996,19,49,0.5
998,20,2,0.5
999,20,3,0.5
1000,20,4,0.5
1001,20,5,0.5
1002,20,6,0.5
1003,20,7,0.5
1004,20,8,0.5
1008,20,12,0.5
1011,20,15,0.5
1018,20,22,0.5
1019,20,23,0.5
1020,20,24,0.5
1022,20,26,0.5
1024,20,28,0.5
1026,20,30,0.5
1028,20,32,0.5
1029,20,33,0.5
1037,20,41,0.5
1039,20,43,0.5
1040,20,44,0.5
1043,20,47,0.5
1044,20,48,0.5
1047,21,1,0.5
1048,21,2,0.5
1049,21,3,0.5
1050,21,4,0.5
1051,21,5,0.5
1052,21,6,0.5
1055,21,9,0.5
1056,21,10,0.5
1057,21,11,0.5
1061,21,15,0.5
1062,21,16,0.5
1064,21,18,0.5
1065,21,19,0.5
1066,21,20,0.5
1067,21,21,0.5
1068,21,22,0.5
1069,21,23,0.5
1070,21,24,0.5
1071,21,25,0.5
1074,21,28,0.5
1077,21,31,0.5
1078,21,32,0.5
1079,21,33,0.5
1081,21,35,0.5
1084,21,39,0.5
1086,21,41,0.5
1089,21,44,0.5
1090,21,45,0.5
1091,21,46,0.5
1092,21,47,0.5
1094,21,49,0.5
1095,22,0,0.5
1097,22,2,0.5
1098,22,3,0.5
1100,22,5,0.5
1103,22,8,0.5
1106,22,11,0.5
1107,22,12,0.5
1109,22,14,0.5
1111,22,16,0.5
1112,22,17,0.5
1113,22,19,0.5
1114,22,20,0.5
1115,22,21,0.5
1118,22,24,0.5
1119,22,25,0.5
1120,22,26,0.5
1121,22,27,0.5
1123,22,29,0.5
1124,22,30,0.5
1126,22,32,0.5
1127,22,33,0.5
1128,22,34,0.5
1130,22,36,0.5
1134,22,41,0.5
1137,22,44,0.5
1138,22,45,0.5
1142,22,49,0.5
1145,23,2,0.5
1146,23,3,0.5
1148,23,5,0.5
1149,23,6,0.5
1150,23,7,0.5
1151,23,8,0.5
1153,23,10,0.5
1155,23,12,0.5
1156,23,13,0.5
1157,23,14,0.5
1158,23,15,0.5
1159,23,16,0.5
1160,23,17,0.5
1162,23,19,0.5
1164,23,21,0.5
1165,23,22,0.5
1166,23,23,0.5
1172,23,29,0.5
1183,23,40,0.5
1186,23,43,0.5
1191,23,48,0.5
1195,24,2,0.5
1196,24,3,0.5
1197,24,4,0.5
1200,24,7,0.5
1201,24,8,0.5
1204,24,11,0.5
1207,24,14,0.5
1208,24,15,0.5
1209,24,16,0.5
1212,24,19,0.5
1214,24,21,0.5
1215,24,22,0.5
1218,24,25,0.5
1219,24,26,0.5
1220,24,27,0.5
1228,24,35,0.5
1231,24,38,0.5
1233,24,40,0.5
1238,24,45,0.5
1239,24,46,0.5
1240,24,47,0.5
1242,24,49,0.5
1243,25,1,0.5
1244,25,2,0.5
1247,25,5,0.5
1248,25,6,0.5
1251,25,10,0.5
1252,25,11,0.5
1253,25,12,0.5
1257,25,16,0.5
1261,25,20,0.5
1264,25,23,0.5
1267,25,27,0.5
1269,25,29,0.5
1271,25,31,0.5
1273,25,33,0.5
1275,25,35,0.5
1276,25,36,0.5
1277,25,37,0.5
1278,25,38,0.5
1281,25,41,0.5
1284,25,44,0.5
1285,25,45,0.5
1289,25,49,0.5
1290,26,0,0.5
1291,26,1,0.5
1293,26,3,0.5
1297,26,7,0.5
1298,26,8,0.5
1299,26,9,0.5
1302,26,12,0.5
1304,26,14,0.5
1308,26,18,0.5
1309,26,19,0.5
1315,26,25,0.5
1317,26,27,0.5
1319,26,29,0.5
1325,26,35,0.5
1326,26,36,0.5
1329,26,39,0.5
1330,26,40,0.5
1332,26,42,0.5
1333,26,43,0.5
1335,26,45,0.5
1336,26,46,0.5
1337,26,47,0.5
1338,26,48,0.5
1342,27,2,0.5
1346,27,6,0.5
1347,27,7,0.5
1348,27,8,0.5
1353,27,13,0.5
1354,27,14,0.5
1357,27,17,0.5
1359,27,19,0.5
1360,27,20,0.5
1361,27,21,0.5
1363,27,23,0.5
1364,27,24,0.5
1365,27,25,0.5
1368,27,28,0.5
1371,27,31,0.5
1372,27,32,0.5
1375,27,35,0.5
1376,27,36,0.5
1377,27,37,0.5
1379,27,39,0.5
1382,27,42,0.5
1385,27,45,0.5
1391,28,1,0.5
1395,28,5,0.5
1398,28,8,0.5
1401,28,11,0.5
1403,28,13,0.5
1404,28,14,0.5
1407,28,17,0.5
1408,28,18,0.5
1409,28,19,0.5
1410,28,20,0.5
1414,28,24,0.5
1415,28,25,0.5
1416,28,26,0.5
1417,28,27,0.5
1420,28,30,0.5
1421,28,31,0.5
1422,28,32,0.5
1427,28,37,0.5
1428,28,38,0.5
1434,28,44,0.5
1437,28,47,0.5
1439,28,49,0.5
1440,29,0,0.5
1441,29,1,0.5
1444,29,4,0.5
1448,29,8,0.5
1450,29,10,0.5
1457,29,17,0.5
1458,29,18,0.5
1459,29,19,0.5
1460,29,20,0.5
1464,29,24,0.5
1465,29,25,0.5
1467,29,27,0.5
1469,29,29,0.5
1470,29,30,0.5
1471,29,31,0.5
1474,29,34,0.5
1475,29,35,0.5
1477,29,37,0.5
1479,29,40,0.5
1481,29,42,0.5
1484,29,45,0.5
1486,29,47,0.5
1490,30,1,0.5
1491,30,2,0.5
1492,30,3,0.5
1494,30,5,0.5
1495,30,6,0.5
1496,30,7,0.5
1497,30,8,0.5
1498,30,9,0.5
1504,30,15,0.5
1507,30,18,0.5
1512,30,23,0.5
1516,30,27,0.5
1517,30,28,0.5
1521,30,32,0.5
1522,30,33,0.5
1523,30,34,0.5
1527,30,38,0.5
1528,30,39,0.5
1529,30,40,0.5
1531,30,42,0.5
1532,30,43,0.5
1535,30,46,0.5
1537,30,48,0.5
1538,30,49,0.5
1540,31,1,0.5
1541,31,2,0.5
1542,31,3,0.5
1543,31,4,0.5
1544,31,5,0.5
1545,31,6,0.5
1546,31,7,0.5
1549,31,10,0.5
1550,31,11,0.5
1551,31,12,0.5
1552,31,13,0.5
1558,31,19,0.5
1560,31,21,0.5
1561,31,22,0.5
1562,31,23,0.5
1563,31,24,0.5
1564,31,25,0.5
1565,31,26,0.5
1567,31,28,0.5
1568,31,29,0.5
1569,31,30,0.5
1570,31,31,0.5
1572,31,33,0.5
1574,31,35,0.5
1575,31,36,0.5
1576,31,37,0.5
1578,31,39,0.5
1581,31,42,0.5
1583,31,44,0.5
1586,31,47,0.5
1588,31,49,0.5
1590,32,1,0.5
1592,32,3,0.5
1599,32,10,0.5
1600,32,11,0.5
1601,32,12,0.5
1602,32,13,0.5
1606,32,17,0.5
1607,32,18,0.5
1611,32,22,0.5
1612,32,23,0.5
1617,32,28,0.5
1618,32,29,0.5
1619,32,30,0.5
1620,32,31,0.5
1621,32,32,0.5
1622,32,33,0.5
1625,32,36,0.5
1628,32,40,0.5
1629,32,41,0.5
1631,32,43,0.5
1633,32,45,0.5
1635,32,47,0.5
1636,32,48,0.5
1637,32,49,0.5
1640,33,2,0.5
1641,33,3,0.5
1643,33,5,0.5
1644,33,6,0.5
1647,33,9,0.5
1648,33,10,0.5
1650,33,12,0.5
1651,33,13,0.5
1654,33,16,0.5
1655,33,17,0.5
1659,33,21,0.5
1661,33,23,0.5
1664,33,26,0.5
1666,33,28,0.5
1669,33,31,0.5
1670,33,32,0.5
1671,33,33,0.5
1672,33,34,0.5
1673,33,35,0.5
1674,33,36,0.5
1676,33,38,0.5
1677,33,39,0.5
1678,33,40,0.5
1679,33,41,0.5
1680,33,42,0.5
1681,33,43,0.5
1682,33,44,0.5
1683,33,45,0.5
1684,33,46,0.5
1685,33,47,0.5
1687,33,49,0.5
1689,34,1,0.5
1690,34,2,0.5
1692,34,4,0.5
1694,34,6,0.5
1696,34,8,0.5
1698,34,10,0.5
1700,34,12,0.5
1702,34,14,0.5
1704,34,16,0.5
1705,34,17,0.5
1706,34,18,0.5
1707,34,19,0.5
1708,34,20,0.5
1709,34,21,0.5
1714,34,26,0.5
1715,34,27,0.5
1716,34,28,0.5
1719,34,31,0.5
1720,34,32,0.5
1725,34,37,0.5
1730,34,42,0.5
1732,34,44,0.5
1733,34,45,0.5
1734,34,46,0.5
1735,34,47,0.5
1737,34,49,0.5
1738,35,0,0.5
1739,35,1,0.5
1740,35,2,0.5
1741,35,3,0.5
1742,35,4,0.5
1743,35,5,0.5
1744,35,6,0.5
1746,35,8,0.5
1748,35,10,0.5
1749,35,11,0.5
1754,35,16,0.5
1755,35,17,0.5
1758,35,20,0.5
1766,35,28,0.5
1772,35,34,0.5
1773,35,35,0.5
1778,35,40,0.5
1780,35,42,0.5
1781,35,43,0.5
1782,35,44,0.5
1783,35,45,0.5
1784,35,46,0.5
1788,36,0,0.5
1789,36,1,0.5
1793,36,5,0.5
1795,36,7,0.5
1796,36,8,0.5
1798,36,10,0.5
1799,36,11,0.5
1801,36,13,0.5
1802,36,14,0.5
1803,36,15,0.5
1805,36,17,0.5
1806,36,18,0.5
1809,36,21,0.5
1810,36,22,0.5
1811,36,23,0.5
1812,36,24,0.5
1813,36,25,0.5
1816,36,28,0.5
1819,36,31,0.5
1820,36,32,0.5
1822,36,34,0.5
1823,36,35,0.5
1827,36,39,0.5
1828,36,40,0.5
1833,36,45,0.5
1834,36,46,0.5
1835,36,47,0.5
1836,36,48,0.5
1838,37,0,0.5
1839,37,1,0.5
1840,37,2,0.5
1841,37,3,0.5
1843,37,5,0.5
1844,37,6,0.5
1845,37,7,0.5
1848,37,10,0.5
1849,37,11,0.5
1850,37,12,0.5
1851,37,13,0.5
1852,37,14,0.5
1855,37,17,0.5
1856,37,18,0.5
1859,37,21,0.5
1861,37,23,0.5
1863,37,25,0.5
1864,37,26,0.5
1867,37,29,0.5
1869,37,31,0.5
1872,37,34,0.5
1874,37,36,0.5
1876,37,38,0.5
1877,37,39,0.5
1878,37,40,0.5
1879,37,41,0.5
1880,37,42,0.5
1885,37,47,0.5
1886,37,48,0.5
1887,37,49,0.5
1888,38,0,0.5
1889,38,1,0.5
1890,38,2,0.5
1891,38,3,0.5
1892,38,4,0.5
1893,38,5,0.5
1897,38,9,0.5
1898,38,10,0.5
1899,38,11,0.5
1902,38,14,0.5
1906,38,18,0.5
1907,38,19,0.5
1912,38,24,0.5
1913,38,25,0.5
1915,38,27,0.5
1918,38,30,0.5
1919,38,31,0.5
1920,38,32,0.5
1921,38,33,0.5
1924,38,36,0.5
1925,38,37,0.5
1928,38,40,0.5
1929,38,41,0.5
1930,38,42,0.5
1936,38,48,0.5
1937,38,49,0.5
1939,39,1,0.5
1940,39,2,0.5
1941,39,3,0.5
1942,39,4,0.5
1945,39,7,0.5
1946,39,8,0.5
1948,39,10,0.5
1952,39,14,0.5
1953,39,15,0.5
1954,39,16,0.5
1959,39,21,0.5
1962,39,24,0.5
1965,39,27,0.5
1966,39,28,0.5
1967,39,29,0.5
1969,39,31,0.5
1970,39,32,0.5
1972,39,34,0.5
1977,39,39,0.5
1979,39,41,0.5
1981,39,43,0.5
1983,39,45,0.5
1984,39,46,0.5
1985,39,47,0.5
1986,39,48,0.5
1990,40,2,0.5
1991,40,3,0.5
1994,40,6,0.5
1995,40,7,0.5
1997,40,9,0.5
1999,40,11,0.5
2002,40,14,0.5
2006,40,18,0.5
2014,40,26,0.5
2023,40,35,0.5
2024,40,36,0.5
2027,40,39,0.5
2030,40,42,0.5
2034,40,46,0.5
2035,40,47,0.5
2036,40,48,0.5
2037,40,49,0.5
2040,41,2,0.5
2041,41,3,0.5
2044,41,6,0.5
2046,41,8,0.5
2049,41,11,0.5
2051,41,13,0.5
2052,41,14,0.5
2053,41,15,0.5
2054,41,16,0.5
2056,41,18,0.5
2063,41,25,0.5
2065,41,27,0.5
2066,41,28,0.5
2067,41,29,0.5
2070,41,32,0.5
2074,41,36,0.5
2075,41,37,0.5
2078,41,40,0.5
2079,41,41,0.5
2081,41,43,0.5
2082,41,44,0.5
2085,41,47,0.5
2087,41,49,0.5
2088,42,0,0.5
2089,42,1,0.5
2091,42,3,0.5
2094,42,6,0.5
2095,42,7,0.5
2097,42,9,0.5
2099,42,11,0.5
2102,42,14,0.5
2103,42,15,0.5
2104,42,16,0.5
2106,42,18,0.5
2108,42,20,0.5
2110,42,22,0.5
2111,42,23,0.5
2114,42,26,0.5
2118,42,30,0.5
2120,42,32,0.5
2124,42,36,0.5
2125,42,37,0.5
2133,42,45,0.5
2136,42,48,0.5
2138,43,0,0.5
2139,43,1,0.5
2140,43,2,0.5
2141,43,3,0.5
2142,43,4,0.5
2145,43,7,0.5
2147,43,9,0.5
2149,43,11,0.5
2150,43,12,0.5
2151,43,13,0.5
2152,43,14,0.5
2154,43,16,0.5
2156,43,18,0.5
2157,43,19,0.5
2158,43,20,0.5
2159,43,21,0.5
2160,43,22,0.5
2162,43,24,0.5
2165,43,27,0.5
2168,43,30,0.5
2169,43,31,0.5
2171,43,33,0.5
2172,43,34,0.5
2173,43,35,0.5
2174,43,36,0.5
2175,43,37,0.5
2176,43,38,0.5
2177,43,39,0.5
2178,43,40,0.5
2179,43,41,0.5
2180,43,42,0.5
2182,43,44,0.5
2183,43,45,0.5
2184,43,46,0.5
2186,43,48,0.5
2190,44,2,0.5
2191,44,3,0.5
2194,44,6,0.5
2195,44,7,0.5
2196,44,8,0.5
2197,44,9,0.5
2200,44,12,0.5
2201,44,13,0.5
2204,44,16,0.5
2207,44,19,0.5
2214,44,26,0.5
2215,44,27,0.5
2220,44,32,0.5
2221,44,33,0.5
2222,44,34,0.5
2224,44,36,0.5
2225,44,37,0.5
2227,44,39,0.5
2229,44,41,0.5
2233,44,45,0.5
2234,44,46,0.5
2236,44,48,0.5
2243,45,5,0.5
2244,45,6,0.5
2245,45,7,0.5
2252,45,14,0.5
2254,45,16,0.5
2255,45,17,0.5
2256,45,18,0.5
2257,45,19,0.5
2258,45,20,0.5
2261,45,23,0.5
2262,45,24,0.5
2265,45,27,0.5
2267,45,29,0.5
2269,45,31,0.5
2270,45,32,0.5
2271,45,33,0.5
2273,45,35,0.5
2274,45,36,0.5
2275,45,37,0.5
2277,45,39,0.5
2278,45,40,0.5
2282,45,44,0.5
2283,45,45,0.5
2285,45,47,0.5
2286,45,48,0.5
2290,46,2,0.5
2291,46,3,0.5
2293,46,5,0.5
2296,46,8,0.5
2298,46,10,0.5
2301,46,13,0.5
2302,46,14,0.5
2303,46,15,0.5
2305,46,17,0.5
2306,46,18,0.5
2308,46,20,0.5
2310,46,22,0.5
2315,46,27,0.5
2321,46,33,0.5
2322,46,34,0.5
2325,46,37,0.5
2326,46,38,0.5
2327,46,39,0.5
2328,46,40,0.5
2329,46,41,0.5
2331,46,43,0.5
2338,47,0,0.5
2341,47,3,0.5
2342,47,4,0.5
2343,47,5,0.5
2344,47,6,0.5
2345,47,7,0.5
2346,47,8,0.5
2347,47,9,0.5
2348,47,10,0.5
2351,47,13,0.5
2355,47,17,0.5
2357,47,19,0.5
2359,47,21,0.5
2360,47,22,0.5
2361,47,23,0.5
2365,47,27,0.5
2369,47,31,0.5
2375,47,37,0.5
2377,47,39,0.5
2378,47,40,0.5
2380,47,42,0.5
2382,47,44,0.5
2383,47,45,0.5
2386,47,48,0.5
2387,47,49,0.5
2388,48,0,0.5
2391,48,3,0.5
2393,48,5,0.5
2394,48,6,0.5
2396,48,8,0.5
2397,48,9,0.5
2398,48,10,0.5
2399,48,11,0.5
2403,48,15,0.5
2404,48,16,0.5
2406,48,19,0.5
2407,48,20,0.5
2409,48,22,0.5
2410,48,23,0.5
2411,48,24,0.5
2412,48,25,0.5
2415,48,28,0.5
2416,48,29,0.5
2419,48,32,0.5
2420,48,33,0.5
2422,48,35,0.5
2424,48,37,0.5
2425,48,38,0.5
2432,48,45,0.5
2433,48,46,0.5
2434,48,47,0.5
2437,49,0,0.5
2439,49,2,0.5
2441,49,4,0.5
2446,49,9,0.5
2447,49,10,0.5
2451,49,14,0.5
2453,49,16,0.5
2456,49,19,0.5
2457,49,20,0.5
2460,49,23,0.5
2461,49,24,0.5
2462,49,25,0.5
2465,49,28,0.5
2469,49,32,0.5
2471,49,34,0.5
2474,49,37,0.5
2475,49,38,0.5
2476,49,39,0.5
2477,49,40,0.5
2479,49,42,0.5
2480,49,43,0.5
2482,49,45,0.5
2483,49,46,0.5
2484,49,47,0.5
2486,49,49,0.5
